Session,Paper Title,Author List, Keywords, Abstract,,,,,,
SLAM 1,Measurement Simplification in Rho-POMDP with Performance Guarantees,"Yotam, Tom;Indelman, Vadim","Keywords: SLAM, Motion and Path Planning, Autonomous Agents, Foundations of Automation","Abstract: Decision making under uncertainty is at the heart of any autonomous system acting with imperfect information. The cost of solving the decision making problem is exponential in the action and observation spaces, thus rendering it unfeasible for many online systems. This paper introduces a novel approach to efficient decision-making, by partitioning the high-dimensional observation space. Using the partitioned observation space, we formulate analytical bounds on the expected information- theoretic reward, for general belief distributions. These bounds are then used to plan efficiently while keeping performance guar- antees. We show that the bounds are adaptive,
computationally efficient, and that they converge to the original solution. We extend the partitioning paradigm and present a hierarchy of partitioned spaces that allows greater efficiency in planning. We then propose a specific variant of these bounds for Gaussian beliefs and show a theoretical performance improvement of at least a factor of 4. Finally, we compare our novel method to other state of the art algorithms in active SLAM scenarios, in simulation and in real experiments. In both cases we show a sign",,,,,,
SLAM 1,VSS-SLAM: Voxelized Surfel Splatting for Geometally Accurate SLAM,"Chen, Xuanhua;Zhang, Yunzhou;Zhang, Zhiyao;Wang, Guoqing;Zhao, Bin;Wang, Xingshuo","Keywords: Deep Learning Methods, Mapping, SLAM","Abstract: Visual Simultaneous Localization and Mapping (SLAM) helps robots estimate their poses and perceive the environment in unknown settings. Recent work has demonstrated that implicit neural radiance fields and 3D Gaussian Splatting (3DGS) offer higher fidelity scene representation than traditional map representations. We propose VSS-SLAM, which utilizes voxelized surfels as the map representation for incremental mapping in unknown environments. This representation effectively addresses the issue of redundant and disordered primitives encountered in previous methods, thereby enhancing geometric accuracy during reconstruction. Specifically, our approach divides the scene using voxels and stores geometric and appearance information in feature vectors at the voxel vertices. Before rendering, these feature vectors are decoded to generate the corresponding surfels. Additionally, we align camera poses through image and depth rendering. Extensive experiments on the Replica and TUM RGBD datasets demonstrate that VSS-SLAM delivers high-fidelity reconstruction and accurate pose estimation in both simulated and real-world environments. Source code will soon be available.",,,,,,
SLAM 1,New Graph Distance Measures and Matching of Topological Maps for Robotic Exploration,"Morbidi, Fabio","Keywords: Mapping, Autonomous Agents, SLAM","Abstract: Comparing graph-structured maps is a task of paramount importance in robotic exploration and cartography, but unfortunately the computational cost of the existing similarity measures, such as the graph edit distance (GED), is prohibitive for large graphs. In this paper, we introduce and characterize three new graph distance measures which satisfy the requirements for a metric. The first one, ""LogEig"", computes the square root of the sum of the squared logarithms of the generalized eigenvalues of the shifted Laplacian matrices associated with the two graphs, while the second calculates the Bures distance between these positive definite matrices. The third distance, ""Rank"", computes the rank of the difference of the graph shift operators associated with the two graphs, e.g. the adjacency or the Laplacian matrix. Examples and numerical experiments with graphs from a publicly-available dataset, show the accuracy and computational efficiency of the new metrics for 2D topological-map matching, compared to the GED. The effect of spectral sparsification on the new graph distance measures is examined as well.",,,,,,
SLAM 1,EnvoDat: A Large-Scale Multisensory Dataset for Robotic Spatial Awareness and Semantic Reasoning in Heterogeneous Environments,"Nwankwo, Linus Ebere;Ellensohn, Björn;Dave, Vedant;Hofer, Peter;Forstner, Jan;Villneuve, Marlene;Galler, Robert;Rueckert, Elmar","Keywords: Data Sets for SLAM, Data Sets for Robotic Vision, Semantic Scene Understanding","Abstract: To ensure the efficiency of robot autonomy under diverse real-world conditions, a high-quality heterogeneous dataset is essential to benchmark the operating algorithms' performance and robustness. Current benchmarks predominantly focus on urban terrains, specifically for on-road autonomous driving, leaving multi-degraded, densely vegetated, dynamic and feature-sparse environments, such as underground tunnels, natural fields, and modern indoor spaces underrepresented. To fill this gap, we introduce EnvoDat, a large-scale, multi-modal dataset collected in diverse environments and conditions, including high illumination, fog, rain, and zero visibility at different times of the day. Overall, EnvoDat contains 26 sequences from 13 scenes, 10 sensing modalities, over 1.9TB of data, and over 89K fine-grained polygon-based annotations for more than 82 object and terrain classes. We post-processed EnvoDat in different formats that support benchmarking SLAM and supervised learning algorithms, and fine-tuning multimodal vision models. With EnvoDat, we contribute to environment-resilient robotic autonomy in areas where the conditions are extremely challenging. The datasets and other relevant resources can be accessed through https://linusnep.github.io/EnvoDat/.",,,,,,
SLAM 1,Probabilistic Degeneracy Detection for Point-To-Plane Error Minimization,"Hatleskog, Johan;Alexis, Kostas","Keywords: SLAM, Probability and Statistical Methods","Abstract: Degeneracies arising from uninformative geometry are known to deteriorate LiDAR-based localization and mapping. This work introduces a new probabilistic method to detect and mitigate the effect of degeneracies in point-to-plane error minimization. The noise on the Hessian of the point-to-plane optimization problem is characterized by the noise on points and surface normals used in its construction. We exploit this characterization to quantify the probability of a direction being degenerate. The degeneracy-detection procedure is used in a new real-time degeneracy-aware iterative closest point algorithm for LiDAR registration, in which we smoothly attenuate updates in degenerate directions. The method's parameters are selected based on the noise characteristics provided in the LiDAR's datasheet. We validate the approach in four real-world experiments, demonstrating that it outperforms state-of-the-art methods at detecting and mitigating the adverse effects of degeneracies. For the benefit of the community, we release the code for the method at: github.com/ntnu-arl/drpm.",,,,,,
SLAM 1,SCE-LIO: An Enhanced Lidar Inertial Odometry by Constructing Submap Constraints,"Sun, Chao;Huang, Zhishuai;Wang, Bo;Xiao, Mancheng;Leng, Jianghao;Li, Jiajun","Keywords: SLAM, Mapping, Autonomous Vehicle Navigation","Abstract: In lidar-based Simultaneous Localization and Mapping (SLAM) systems, loop closure detection is crucial for enhancing the accuracy of odometry. However, constraints from loop closure detection are only provided when a loop is detected and can only enhance odometry accuracy at specific moments. Therefore, this paper proposes a lidar inertial odometry system that
periodically provides submap constraints to the pose graph and enhances odometry accuracy through pose graph optimization. In the process of creating submap constraints, the system represents lidar keyframes as a collection of submaps containing overlapping information. The optimal pose transformations between submaps, determined using the Iterative Closest Point (ICP) algorithm with point-to-line and point-to-plane methods, are recognized as submap constraints. During the backend optimization phase, submap constraints and adjacent lidar keyframe constraints are integrated into the pose graph.
The pose graph is then optimized using the pose graph optimization method to achieve the optimal lidar pose estimation. Additionally, To further enhance pose estimation, point-to-plane correspondence is established by considering the differences in normal vectors of feature points between the scan and the map, and integrated initial positioning module is created by incorporating preintegration and scan-to-scan matching. The results of simulation, public datasets and vehicle experiments show that the accuracy of the proposed algorithm is significantly improved compared to the advanced SLAM algorithm.",,,,,,
SLAM 1,HDPlanner: Advancing Autonomous Deployments in Unknown Environments through Hierarchical Decision Networks,"Liang, Jingsong;Cao, Yuhong;Ma, Yixiao;Zhao, Hanqi;Sartoretti, Guillaume Adrien","Keywords: AI-Based Methods, View Planning for SLAM, Motion and Path Planning","Abstract: In this paper, we introduce HDPlanner, a deep reinforcement learning (DRL) based framework designed to tackle two core and challenging tasks
for mobile robots: autonomous exploration and navigation, where the robot must optimize its trajectory adaptively to achieve the task objective through continuous interactions in unknown environments. Specifically, HDPlanner relies on novel hierarchical attention networks
to empower the robot to reason about its belief across multiple spatial
scales and sequence collaborative decisions, where our networks decompose long-term objectives into short-term informative task assignments and informative path plannings. We further propose a contrastive learning-based joint optimization to enhance the robustness
of HDPlanner. We empirically demonstrate that HDPlanner significantly outperforms state-of-the-art conventional and learning-based baselines on an extensive set of simulations, including hundreds of test maps and
large-scale, complex Gazebo environments. Notably, HDPlanner achieves real-time planning with travel distances reduced by up to 35.7% compared to exploration benchmarks and by up to 16.5% than navigation benchmarks. Furthermore, we validate our approach on hardware, where it
generates high-quality, adaptive trajectories in both indoor and outdoor environments, highlighting its real-world applicability without
additional training.",,,,,,
3D Content Capture and Generation 1,WeatherGS: 3D Scene Reconstruction in Adverse Weather Conditions Via Gaussian Splatting,"Qian, Chenghao;Guo, Yuhu;Li, Wenjing;Markkula, Gustav","Keywords: Computer Vision for Automation, Computer Vision for Transportation, Visual Learning","Abstract: 3D Gaussian Splatting (3DGS) has gained significant attention for 3D scene reconstruction, but still suffers from complex outdoor environments, especially under adverse weather. This is because 3DGS treats the artifacts caused by adverse weather as part of the scene and will directly reconstruct them, largely reducing the clarity of the reconstructed scene. To address this challenge, we propose WeatherGS, a 3DGS-based framework for reconstructing clear scenes from multi-view images under different weather conditions. Specifically, we explicitly categorize the multi-weather artifacts into the dense particles and lens occlusions that have very different characters, in which the former are caused by snowflakes and rain streaks in the air, and the latter are raised by the precipitation on the camera lens. In light of this, we propose a dense-to-sparse preprocess strategy, which sequentially removes the dense particles by an Atmospheric Effect Filter (AEF) and then extracts the relatively sparse occlusion masks with a Lens Effect Detector (LED). Finally, we train a set of 3D Gaussians by the processed images and generated masks for excluding occluded areas, and accurately recover the underlying clear scene by Gaussian splatting. We conduct a diverse and challenging benchmark to facilitate the evaluation of 3D reconstruction under complex weather scenarios. Extensive experiments on this benchmark demonstrate that our WeatherGS consistently produces high-quality, clean scenes across various weather scenarios, outperforming existing state-of-the-art methods.",,,,,,
3D Content Capture and Generation 1,RL-GSBridge: 3D Gaussian Splatting Based Real2Sim2Real Method for Robotic Manipulation Learning,"Wu, Yuxuan;Pan, Lei;Wu, Wenhua;Wang, Guangming;Miao, Yanzi;Xu, Fan;Wang, Hesheng","Keywords: Computer Vision for Automation, Deep Learning in Grasping and Manipulation, Reinforcement Learning","Abstract: Sim-to-Real refers to the process of transferring policies learned in simulation to the real world, which is crucial for achieving practical robotics applications. However, recent Sim2real methods either rely on a large amount of augmented data or large learning models, which is inefficient for specific tasks. In recent years, with the emergence of radiance field reconstruction methods, especially 3D Gaussian splatting, it has become possible to construct realistic real-world scenes. To this end, we propose RL-GSBridge, a novel real-to-sim-to-real framework which incorporates 3D Gaussian Splatting into the conventional RL simulation pipeline, enabling zero-shot simto-real transfer for vision-based deep reinforcement learning. We introduce a mesh-based 3D GS method with soft binding constraints, enhancing the rendering quality of mesh models. Then utilizing a GS editing approach to synchronize the rendering with the physics simulator, RL-GSBridge could reflect the visual interactions of the physical robot accurately. Through a series of sim-to-real experiments, including grasping and pickand-place tasks, we demonstrate that RL-GSBridge maintains a satisfactory success rate in real-world task completion during sim-to-real transfer. Furthermore, a series of rendering metrics and visualization results indicate that our proposed mesh-based 3D GS reduces artifacts in unstructured objects, demonstrating more realistic rendering performance.",,,,,,
3D Content Capture and Generation 1,High-Quality 3D Creation from a Single Image Using Subject-Specific Knowledge Prior,"Huang, Nan;Zhang, Ting;Yuan, Yuhui;Chen, Dong;Zhang, Shanghang",Keywords: Computer Vision for Automation,"Abstract: In this paper, we address the critical bottleneck in robotics caused by the scarcity of diverse 3D data by presenting a novel two-stage approach for generating high-quality 3D models from a single image. This method is motivated by the need to efficiently expand 3D asset creation, particularly for robotics datasets, where the variety of object types is currently limited compared to general image datasets. Unlike previous methods that primarily rely on general diffusion priors, which often struggle to align with the reference image, our approach leverages subject-specific prior knowledge. By incorporating subject-specific priors in both geometry and texture, we ensure precise alignment between the generated 3D content and the reference object. Specifically, we introduce a shading mode-aware prior into the NeRF optimization process, enhancing the geometry and refining texture in the coarse outputs to achieve superior quality. Extensive experiments demonstrate that our method significantly outperforms prior approaches. Our approach is well-suited for applications such as novel view synthesis, text-to-3D, and image-to-3D, particularly in the robotics field where diverse 3D data is essential.",,,,,,
